"Timestamp","Do you agree to participate voluntarily in this research survey?","Age Group","Gender","Field of Study (Optional)","Current Occupation / Status"," [Felt upset because of something unexpected]"," [Felt unable to control important things in life]"," [Felt nervous and stressed]"," [Felt confident about handling personal problems]"," [Felt things were going your way]"," [Could not cope with all things you had to do]"," [Able to control irritations]"," [Felt on top of things]"," [Angered by things outside your control]"," [Felt difficulties piling up]"," [I feel mentally exhausted]"," [At the end of the day, I find it hard to recover my energy]"," [I feel physically exhausted]"," [I struggle to find enthusiasm for my daily activities]"," [I feel indifferent about my work/studies]"," [I feel cynical about what I do]"," [I have trouble staying focused]"," [I struggle to think clearly]"," [I make mistakes because my mind is on other things]"," [I feel unable to control my emotions]"," [I do not recognize myself in the way I react emotionally]"," [I may overreact unintentionally]","Average sleep duration per night","Daily screen time (non-academic/work)","How often do you take breaks during study/work? ","Describe how you have been feeling mentally and emotionally over the past few weeks.","What are the main factors currently causing you stress or mental exhaustion?","Would you like access to mental health support resources?"
"2026/02/04 12:55:30 pm GMT+5:30","I Agree","19-22","Male","","College Student","Fairly Often","Very Often","Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","5-6 hours","2–4 hours","Sometimes","Not so good","A person","No"
"2026/02/04 1:19:21 pm GMT+5:30","I Agree","19-22","Male","Cse","College Student","Fairly Often","Sometimes","Fairly Often","Sometimes","Fairly Often","Sometimes","Sometimes","Almost Never","Fairly Often","Sometimes","Sometimes","Often","Sometimes","Rarely","Sometimes","Often","Rarely","Sometimes","Rarely","Rarely","Rarely","Never","5-6 hours","More than 6 hours","Regularly","Exhausted while thinking about my future ","Career and relationships ","Yes"
"2026/02/04 1:55:12 pm GMT+5:30","I Agree","19-22","Male","Bfa","College Student","Sometimes","Sometimes","Almost Never","Fairly Often","Very Often","Sometimes","Sometimes","Never","Never","Never","Always","Always","Always","Sometimes","Always","Always","Always","Sometimes","Sometimes","Sometimes","Often","Sometimes","5-6 hours","More than 6 hours","Rarely","Fully stressed and overthinking ","Stress ","Yes"
"2026/02/04 4:08:08 pm GMT+5:30","I Agree","19-22","Male","","College Student","Fairly Often","Fairly Often","Fairly Often","Never","Never","Very Often","Sometimes","Sometimes","Never","Fairly Often","Always","Often","Often","Never","Sometimes","Rarely","Never","Never","Never","Never","Rarely","Never","5-6 hours","Less than 2 hours","Sometimes","Sometimes I do feel I have been ushered to murky stagnant, where there is no going back ","Perhaps I have never comprehend my emotions ","No"
"2026/02/04 7:11:06 pm GMT+5:30","I Agree","19-22","Male","","College Student","Very Often","Fairly Often","Sometimes","Sometimes","Sometimes","Almost Never","Sometimes","Fairly Often","Sometimes","Almost Never","Never","Rarely","Sometimes","Rarely","Never","Rarely","Sometimes","Rarely","Never","Rarely","Sometimes","Rarely","5-6 hours","2–4 hours","Sometimes","Good","Money","Yes"
"2026/02/04 7:27:48 pm GMT+5:30","I Agree","23-30","Male","Finance and Civil service","Other","Fairly Often","Sometimes","Almost Never","Very Often","Sometimes","Never","Very Often","Very Often","Sometimes","Fairly Often","Sometimes","Rarely","Often","Rarely","Always","Often","Sometimes","Often","Always","Always","Sometimes","Often","More than 7 hours","Less than 2 hours","Regularly","A little exhausted ","Work and lifestyle ","No"
"2026/02/04 7:34:19 pm GMT+5:30","I Agree","19-22","Male","","College Student","Fairly Often","Fairly Often","Fairly Often","Sometimes","Sometimes","Fairly Often","Almost Never","Almost Never","Fairly Often","Fairly Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Often","Less than 5 hours","4–6 hours","Regularly","Drained and exhausted and suicidal too.","IDK it's me maybe","No"
"2026/02/04 7:34:20 pm GMT+5:30","I Agree","15-18","Male","","School Student","Almost Never","Almost Never","Sometimes","Almost Never","Never","Sometimes","Almost Never","Never","Almost Never","Sometimes","Never","Rarely","Often","Always","Sometimes","Rarely","Sometimes","Rarely","Rarely","Never","Rarely","Sometimes","More than 7 hours","Less than 2 hours","Rarely","Very bad ","I don't know ","Yes"
"2026/02/04 7:37:38 pm GMT+5:30","I Agree","15-18","Male","","School Student","Never","Never","Never","Very Often","Very Often","Never","Very Often","Very Often","Almost Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Always","6-7 hours","Less than 2 hours","Sometimes","Very good 
Preparing for academic comeback","Nothing","No"
"2026/02/04 7:50:47 pm GMT+5:30","I Agree","15-18","Male","","School Student","Never","Never","Never","Never","Very Often","Never","Very Often","Very Often","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Often","Never","Never","Never","6-7 hours","Less than 2 hours","Sometimes","GAND FAAD MAJA AAGYA","Nofhing ","No"
"2026/02/04 7:53:14 pm GMT+5:30","I do not agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/02/04 7:54:02 pm GMT+5:30","I do not agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/02/04 7:57:25 pm GMT+5:30","I Agree","23-30","Female","","Working Professional","Fairly Often","Fairly Often","Very Often","Fairly Often","Sometimes","Fairly Often","Sometimes","Almost Never","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Rarely","6-7 hours","2–4 hours","Sometimes","Feeling better ","Work life","Yes"
"2026/02/04 7:57:52 pm GMT+5:30","I Agree","19-22","Male","Jee","School Student","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","6-7 hours","More than 6 hours","Rarely","Feel tired ","I don't know ","No"
"2026/02/04 8:07:53 pm GMT+5:30","I Agree","15-18","Female","","School Student","Sometimes","Sometimes","Sometimes","Never","Sometimes","Almost Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Never","Often","Rarely","Often","Sometimes","Often","Always","Always","Never","5-6 hours","2–4 hours","Sometimes","Mentally and emotionally weak ","Fake peoples in my life ","No"
